seed,episode_id,entity,project,policy_profile,requires_history,permission_missing,initial_permission,consent,prior_disclosure,action_type
1,43,20,6,1,0,1,MISSING,ALLOW,1,CREATE_EVENT
1,44,22,8,5,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,45,55,14,5,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,46,44,15,0,0,1,MISSING,DENY,0,FORWARD_INFORMATION
1,47,60,10,1,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,48,19,19,4,1,1,MISSING,DENY,1,SHARE_DOCUMENT
1,49,29,16,2,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,50,6,4,4,1,0,DENY,DENY,1,SHARE_DOCUMENT
1,51,65,19,0,1,0,ALLOW,ALLOW,1,CREATE_EVENT
1,52,10,16,5,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,53,63,23,1,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,54,51,3,1,1,0,DENY,DENY,0,SEND_MESSAGE
1,55,44,0,3,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,56,50,10,3,1,0,ALLOW,DENY,0,SEND_MESSAGE
1,57,66,3,5,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,58,13,2,4,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,59,4,4,1,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,60,19,5,1,0,0,ALLOW,DENY,1,CREATE_EVENT
1,61,7,5,3,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
1,62,85,4,3,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,63,42,22,5,1,0,DENY,ALLOW,0,SEND_MESSAGE
1,64,12,18,5,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,65,92,0,1,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,66,37,17,3,0,0,ALLOW,ALLOW,0,CREATE_EVENT
1,67,89,1,4,0,0,DENY,ALLOW,1,CREATE_EVENT
1,68,55,4,4,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,69,44,16,0,0,1,MISSING,DENY,1,FORWARD_INFORMATION
1,70,46,16,3,0,0,ALLOW,DENY,1,SEND_MESSAGE
1,71,84,6,1,1,0,DENY,ALLOW,1,SEND_MESSAGE
1,72,83,2,5,1,0,ALLOW,DENY,0,CREATE_EVENT
1,73,37,4,0,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,74,15,23,0,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,75,1,9,5,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,76,76,13,0,1,1,MISSING,DENY,1,SHARE_DOCUMENT
1,77,95,17,3,1,0,DENY,DENY,1,FORWARD_INFORMATION
1,78,4,22,2,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,79,93,9,4,0,0,DENY,DENY,1,FORWARD_INFORMATION
1,80,73,4,0,0,1,MISSING,ALLOW,0,SEND_MESSAGE
1,81,94,20,4,1,1,MISSING,ALLOW,1,CREATE_EVENT
1,82,11,3,4,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,83,24,10,0,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,84,79,14,3,0,0,ALLOW,DENY,1,CREATE_EVENT
1,85,70,6,4,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,86,66,21,1,1,0,DENY,DENY,0,SEND_MESSAGE
1,87,66,16,5,1,0,ALLOW,ALLOW,1,CREATE_EVENT
1,88,46,13,3,0,0,ALLOW,ALLOW,0,CREATE_EVENT
1,89,25,18,3,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,90,21,23,0,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,91,25,2,1,0,1,MISSING,DENY,0,CREATE_EVENT
1,92,42,6,0,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,93,35,2,2,1,0,DENY,ALLOW,1,SEND_MESSAGE
1,94,68,0,2,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,95,80,23,2,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,96,78,21,2,1,0,DENY,ALLOW,0,CREATE_EVENT
1,97,89,22,4,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,98,17,13,0,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,99,51,23,0,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,100,67,20,0,1,1,MISSING,DENY,1,SEND_MESSAGE
1,101,55,12,2,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,102,22,14,2,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,103,60,22,2,0,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,104,23,18,4,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,105,89,21,3,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,106,14,20,1,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,107,56,22,3,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,108,10,9,0,0,0,DENY,ALLOW,1,SEND_MESSAGE
1,109,65,5,5,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,110,44,1,2,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,111,89,2,0,1,1,MISSING,ALLOW,1,CREATE_EVENT
1,112,29,0,5,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
1,113,10,5,2,1,0,DENY,ALLOW,1,CREATE_EVENT
1,114,56,15,1,1,0,ALLOW,DENY,1,CREATE_EVENT
1,115,35,11,3,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,116,45,18,2,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,117,76,23,5,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,118,0,7,1,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,119,71,12,0,1,0,DENY,DENY,1,SHARE_DOCUMENT
1,120,77,16,3,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,121,15,10,4,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,122,43,19,4,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,123,29,22,1,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,124,80,22,2,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,125,90,18,2,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
1,126,32,12,4,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,127,31,9,5,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,128,89,15,4,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,129,64,15,0,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,130,18,8,1,0,1,MISSING,ALLOW,1,CREATE_EVENT
1,131,33,12,0,0,1,MISSING,ALLOW,1,SEND_MESSAGE
1,132,69,1,4,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,133,34,22,0,0,1,MISSING,DENY,0,SEND_MESSAGE
1,134,79,9,3,0,0,DENY,DENY,1,SEND_MESSAGE
1,135,26,19,2,1,0,DENY,ALLOW,1,CREATE_EVENT
1,136,11,16,0,1,0,ALLOW,DENY,1,SEND_MESSAGE
1,137,49,3,3,1,0,DENY,ALLOW,1,CREATE_EVENT
1,138,75,4,2,0,0,ALLOW,DENY,1,CREATE_EVENT
1,139,4,13,5,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,140,78,0,4,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,141,55,12,4,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,142,25,7,2,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,143,34,21,4,0,0,DENY,DENY,0,FORWARD_INFORMATION
1,144,17,20,0,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,145,7,11,2,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,146,45,12,5,1,0,DENY,DENY,1,CREATE_EVENT
1,147,26,9,5,0,1,MISSING,DENY,1,SHARE_DOCUMENT
1,148,1,10,1,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
1,149,86,8,4,1,0,DENY,ALLOW,1,CREATE_EVENT
1,150,68,6,2,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
1,151,78,8,3,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,152,59,13,0,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,153,52,6,2,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,154,92,4,4,1,1,MISSING,ALLOW,0,CREATE_EVENT
1,155,77,14,5,0,1,MISSING,ALLOW,0,SEND_MESSAGE
1,156,15,19,3,0,1,MISSING,DENY,0,SHARE_DOCUMENT
1,157,0,1,1,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,158,2,6,2,0,1,MISSING,ALLOW,0,SEND_MESSAGE
1,159,23,2,0,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,160,6,7,4,1,0,DENY,ALLOW,0,CREATE_EVENT
1,161,57,22,5,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
1,162,12,3,0,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,163,91,14,5,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,164,20,12,0,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,165,49,15,2,0,1,MISSING,ALLOW,1,SEND_MESSAGE
1,166,73,7,2,0,0,DENY,ALLOW,0,CREATE_EVENT
1,167,86,13,4,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,168,67,7,1,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,169,64,18,4,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,170,6,1,0,1,0,DENY,DENY,1,CREATE_EVENT
1,171,68,19,5,0,0,DENY,ALLOW,1,CREATE_EVENT
1,172,57,7,1,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,173,6,20,1,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,174,50,18,2,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,175,64,3,5,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,176,68,16,2,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,177,79,20,5,1,1,MISSING,ALLOW,0,CREATE_EVENT
1,178,82,20,4,1,0,DENY,ALLOW,1,CREATE_EVENT
1,179,82,13,0,0,0,ALLOW,DENY,0,CREATE_EVENT
1,180,65,9,1,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,181,5,16,0,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,182,60,17,5,1,0,DENY,DENY,1,SHARE_DOCUMENT
1,183,29,18,5,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,184,95,6,2,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,185,61,23,0,0,0,DENY,DENY,0,CREATE_EVENT
1,186,19,8,3,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,187,2,14,4,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,188,15,9,4,0,0,DENY,ALLOW,0,SEND_MESSAGE
1,189,46,23,3,1,0,ALLOW,DENY,0,CREATE_EVENT
1,190,32,10,5,1,1,MISSING,DENY,1,CREATE_EVENT
1,191,8,9,0,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,192,18,14,2,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
1,193,2,12,2,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,194,91,0,3,1,0,ALLOW,DENY,1,SEND_MESSAGE
1,195,23,12,0,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,196,8,19,1,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,197,27,3,3,1,0,DENY,ALLOW,1,CREATE_EVENT
1,198,8,1,0,0,1,MISSING,ALLOW,0,SEND_MESSAGE
1,199,23,8,5,1,0,DENY,ALLOW,1,CREATE_EVENT
1,200,77,6,2,1,1,MISSING,DENY,1,SEND_MESSAGE
1,201,89,14,1,1,1,MISSING,DENY,0,FORWARD_INFORMATION
1,202,47,19,5,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
1,203,11,0,5,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,204,53,13,5,0,0,DENY,ALLOW,0,CREATE_EVENT
1,205,91,13,1,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,206,43,7,4,0,0,DENY,ALLOW,0,SEND_MESSAGE
1,207,30,5,1,0,0,DENY,DENY,1,CREATE_EVENT
1,208,40,10,0,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
1,209,36,11,3,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,210,56,15,5,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,211,20,18,2,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,212,23,3,2,1,0,ALLOW,ALLOW,1,CREATE_EVENT
1,213,44,15,3,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,214,66,4,2,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,215,63,13,4,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,216,60,22,2,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,217,20,5,4,1,0,DENY,ALLOW,0,CREATE_EVENT
1,218,66,21,0,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,219,5,4,2,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,220,35,12,2,1,0,DENY,ALLOW,1,SEND_MESSAGE
1,221,69,17,0,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,222,89,9,1,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,223,13,15,2,1,0,ALLOW,ALLOW,1,CREATE_EVENT
1,224,13,6,3,1,1,MISSING,DENY,0,SHARE_DOCUMENT
1,225,62,4,3,0,0,DENY,ALLOW,0,SEND_MESSAGE
1,226,57,10,3,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,227,68,17,0,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
1,228,87,20,3,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,229,69,17,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,230,45,12,0,0,0,ALLOW,DENY,1,SEND_MESSAGE
1,231,68,5,3,1,1,MISSING,DENY,1,SEND_MESSAGE
1,232,77,3,5,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,233,27,8,5,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,234,1,7,0,0,1,MISSING,ALLOW,1,SEND_MESSAGE
1,235,26,12,5,1,0,DENY,DENY,1,SEND_MESSAGE
1,236,26,8,5,0,1,MISSING,DENY,1,SEND_MESSAGE
1,237,29,19,4,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,238,40,21,4,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,239,6,5,1,1,0,DENY,ALLOW,1,SEND_MESSAGE
1,240,15,7,0,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,241,89,9,5,0,1,MISSING,DENY,1,FORWARD_INFORMATION
1,242,0,7,5,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,243,26,8,4,0,1,MISSING,DENY,1,CREATE_EVENT
1,244,58,19,5,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,245,69,23,3,0,1,MISSING,DENY,1,CREATE_EVENT
1,246,69,19,4,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,247,29,9,2,1,1,MISSING,ALLOW,0,CREATE_EVENT
1,248,43,18,1,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,249,87,13,1,0,0,DENY,DENY,1,FORWARD_INFORMATION
1,250,38,19,1,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,251,86,4,3,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,252,79,21,0,1,1,MISSING,DENY,1,FORWARD_INFORMATION
1,253,48,20,1,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,254,94,20,3,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,255,28,6,5,0,0,ALLOW,DENY,0,SEND_MESSAGE
1,256,41,7,2,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
1,257,69,7,4,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,258,12,8,0,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,259,17,5,0,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,260,2,11,3,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,261,91,5,3,1,1,MISSING,DENY,0,FORWARD_INFORMATION
1,262,47,3,3,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,263,80,10,2,1,1,MISSING,DENY,0,SHARE_DOCUMENT
1,264,23,20,2,0,1,MISSING,DENY,1,SHARE_DOCUMENT
1,265,66,8,3,0,0,DENY,DENY,0,SHARE_DOCUMENT
1,266,80,1,5,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,267,24,11,3,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,268,28,8,2,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,269,35,13,2,0,1,MISSING,DENY,0,CREATE_EVENT
1,270,20,12,0,0,1,MISSING,ALLOW,1,SEND_MESSAGE
1,271,31,4,1,0,0,ALLOW,ALLOW,0,CREATE_EVENT
1,272,27,2,4,0,0,ALLOW,ALLOW,0,CREATE_EVENT
1,273,79,16,2,0,1,MISSING,DENY,1,SHARE_DOCUMENT
1,274,38,8,2,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,275,55,7,1,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,276,90,3,5,0,1,MISSING,DENY,1,SEND_MESSAGE
1,277,3,1,5,0,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,278,53,23,2,0,1,MISSING,DENY,1,FORWARD_INFORMATION
1,279,26,2,3,0,0,DENY,ALLOW,0,CREATE_EVENT
1,280,43,21,4,0,0,DENY,DENY,1,SEND_MESSAGE
1,281,55,7,5,1,1,MISSING,ALLOW,0,CREATE_EVENT
1,282,88,8,5,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,283,90,5,5,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,284,51,20,2,0,1,MISSING,DENY,0,SEND_MESSAGE
1,285,26,10,5,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,286,6,15,5,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,287,62,11,3,0,0,ALLOW,DENY,1,CREATE_EVENT
1,288,58,12,3,1,0,DENY,DENY,0,CREATE_EVENT
1,289,91,17,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,290,92,8,2,0,1,MISSING,DENY,0,SEND_MESSAGE
1,291,11,19,1,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
1,292,8,8,2,0,1,MISSING,DENY,1,SEND_MESSAGE
1,293,53,9,3,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,294,83,6,4,0,0,DENY,ALLOW,1,SEND_MESSAGE
1,295,71,2,4,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,296,93,2,3,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,297,17,6,4,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,298,24,1,5,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
1,299,12,3,0,0,0,DENY,ALLOW,1,CREATE_EVENT
1,300,78,0,0,0,1,MISSING,ALLOW,0,SEND_MESSAGE
1,301,22,15,3,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,302,73,0,1,1,0,DENY,ALLOW,0,CREATE_EVENT
1,303,21,11,0,0,0,DENY,ALLOW,1,SEND_MESSAGE
1,304,80,10,5,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,305,10,13,3,1,0,DENY,DENY,0,CREATE_EVENT
1,306,80,3,3,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,307,56,3,5,0,0,ALLOW,ALLOW,0,CREATE_EVENT
1,308,43,11,1,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,309,22,21,3,1,0,DENY,DENY,1,CREATE_EVENT
1,310,27,9,2,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,311,45,3,2,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,312,95,21,0,1,1,MISSING,ALLOW,1,CREATE_EVENT
1,313,50,2,3,0,0,ALLOW,DENY,1,SEND_MESSAGE
1,314,12,9,3,1,0,DENY,DENY,1,CREATE_EVENT
1,315,34,20,4,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
1,316,44,16,3,1,1,MISSING,DENY,1,CREATE_EVENT
1,317,83,22,5,1,1,MISSING,DENY,1,SEND_MESSAGE
1,318,26,1,0,1,1,MISSING,DENY,1,SHARE_DOCUMENT
1,319,43,13,5,0,1,MISSING,ALLOW,1,SEND_MESSAGE
2,0,67,4,5,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
2,1,80,8,0,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
2,2,88,23,3,1,1,MISSING,ALLOW,1,CREATE_EVENT
2,3,55,8,3,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
2,4,95,3,3,1,0,DENY,ALLOW,1,SEND_MESSAGE
2,5,54,6,5,1,0,ALLOW,ALLOW,1,CREATE_EVENT
2,6,89,8,4,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
2,7,28,15,3,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
2,8,25,8,4,1,0,DENY,ALLOW,0,SEND_MESSAGE
2,9,87,9,3,0,0,ALLOW,DENY,1,CREATE_EVENT
2,10,64,13,5,0,1,MISSING,DENY,1,CREATE_EVENT
2,11,70,0,3,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
2,12,14,21,5,1,1,MISSING,ALLOW,0,SEND_MESSAGE
2,13,46,8,3,1,1,MISSING,DENY,1,SHARE_DOCUMENT
2,14,28,9,5,0,0,DENY,ALLOW,0,CREATE_EVENT
2,15,94,19,3,1,0,DENY,DENY,0,SEND_MESSAGE
2,16,77,23,0,1,0,ALLOW,DENY,0,SEND_MESSAGE
2,17,20,0,1,0,1,MISSING,DENY,0,SEND_MESSAGE
2,18,84,16,2,1,1,MISSING,DENY,1,FORWARD_INFORMATION
2,19,5,9,1,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
2,20,30,11,5,0,1,MISSING,DENY,1,FORWARD_INFORMATION
2,21,77,9,5,1,1,MISSING,ALLOW,0,SEND_MESSAGE
2,22,49,21,1,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
2,23,81,8,4,1,1,MISSING,ALLOW,0,SEND_MESSAGE
2,24,37,15,5,0,1,MISSING,ALLOW,0,SEND_MESSAGE
2,25,2,13,4,0,0,DENY,ALLOW,1,SEND_MESSAGE
2,26,91,20,2,1,1,MISSING,DENY,1,SEND_MESSAGE
2,27,73,21,3,0,0,ALLOW,DENY,1,SHARE_DOCUMENT
2,28,74,16,5,0,0,DENY,ALLOW,1,SEND_MESSAGE
2,29,1,15,1,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
2,30,5,9,2,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
2,31,6,7,5,0,1,MISSING,ALLOW,0,SEND_MESSAGE
2,32,84,23,5,1,0,DENY,DENY,1,SHARE_DOCUMENT
2,33,83,7,0,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
2,34,25,1,1,0,1,MISSING,DENY,0,SHARE_DOCUMENT
2,35,53,1,3,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
2,36,62,14,5,0,1,MISSING,ALLOW,1,SEND_MESSAGE
2,37,61,12,3,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
2,38,61,15,0,1,0,DENY,DENY,0,CREATE_EVENT
2,39,74,10,4,1,1,MISSING,DENY,1,SHARE_DOCUMENT
2,40,77,1,0,0,0,DENY,DENY,1,CREATE_EVENT
2,41,50,15,5,0,1,MISSING,DENY,1,SHARE_DOCUMENT
2,42,24,3,0,1,0,ALLOW,ALLOW,0,CREATE_EVENT
2,43,49,10,2,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
2,44,40,16,0,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
2,45,72,11,0,0,0,ALLOW,DENY,0,FORWARD_INFORMATION
2,46,61,6,2,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
2,47,52,2,2,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
2,48,4,4,5,0,0,DENY,ALLOW,0,CREATE_EVENT
2,49,73,1,0,1,1,MISSING,ALLOW,0,CREATE_EVENT
2,50,11,1,0,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
2,51,61,16,5,1,0,DENY,ALLOW,1,SEND_MESSAGE
2,52,14,13,0,1,0,ALLOW,DENY,0,FORWARD_INFORMATION
2,53,84,5,5,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
2,54,21,22,1,0,0,ALLOW,ALLOW,1,CREATE_EVENT
2,55,54,10,2,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
2,56,26,6,3,1,1,MISSING,DENY,0,SHARE_DOCUMENT
2,57,41,22,3,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
2,58,67,8,0,1,0,DENY,DENY,1,FORWARD_INFORMATION
2,59,35,11,2,0,1,MISSING,DENY,1,CREATE_EVENT
2,60,14,21,1,0,1,MISSING,ALLOW,0,CREATE_EVENT
2,61,20,9,4,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
2,62,85,11,0,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
2,63,86,20,3,1,0,DENY,ALLOW,0,SEND_MESSAGE
2,64,80,20,2,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
2,65,71,1,3,1,1,MISSING,ALLOW,1,CREATE_EVENT
2,66,94,6,3,0,0,DENY,ALLOW,1,CREATE_EVENT
2,67,56,0,2,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
2,68,40,18,5,1,0,DENY,ALLOW,1,CREATE_EVENT
2,69,20,15,2,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
2,70,77,2,5,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
2,71,66,8,5,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
2,72,89,6,1,0,0,ALLOW,ALLOW,1,CREATE_EVENT
2,73,81,16,4,1,0,DENY,ALLOW,0,SEND_MESSAGE
2,74,3,1,3,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
2,75,93,22,4,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
2,76,86,12,3,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
2,77,87,20,2,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
2,78,89,5,4,1,1,MISSING,ALLOW,1,SEND_MESSAGE
2,79,82,8,1,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
2,80,36,4,0,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
2,81,5,9,5,1,1,MISSING,ALLOW,1,SEND_MESSAGE
2,82,82,2,5,0,0,DENY,ALLOW,1,SEND_MESSAGE
2,83,67,23,2,1,1,MISSING,ALLOW,1,CREATE_EVENT
2,84,92,11,5,1,0,ALLOW,DENY,0,SEND_MESSAGE
2,85,67,11,5,0,0,DENY,ALLOW,0,CREATE_EVENT
2,86,27,0,2,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
2,87,49,11,1,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
